LINR;LINAME;NAME1;BELFD;TLNR;AUART;AFTNR;APS;ABSN;ATNR;ARTIKEL;MATERIALNR;URLND;WARTARNR;MENGE;ERFMENGE;GEBINDEME;SNNR;SNNRALT;EINZELEK;LIEFERSCHEINNR;LIEFERDATUM;RENREX;REDAT;BIDSER;BID
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;167399;1;E;IM241002;1;1513;11924-00-10;11924-00-10 Bush 623399700E Inmetch;6233997;736;73181900900;291900;291900;291,9;P24450051;FW24010095-001A;48,23;IM-240821PG;05.11.2024;IM-240821PG;21.08.2024;22769;629787
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;167399;2;E;IM241002;1;1515;11924-00-10;11924-00-10 Bush 623399700E Inmetch;6233997;736;73181900900;237500;237500;237,5;P24450052;FW24010095-001B;48,23;IM-240821PG;05.11.2024;IM-240821PG;21.08.2024;22769;629788
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;169111;1;E;IM245034;1;73;11036-00-00;11036-00-00 Nut 550 6570 00B;550657000;736;73181692900;410900;410900;410,9;P24450053;IM245034;48,4;IM-240821PG;05.11.2024;IM-240821PG;21.08.2024;22769;629789
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166333;1;E;IM23A056;1;527;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24460090;IM23A056-1-1;72,8;IM-240828PG;14.11.2024;IM-240828PG;28.08.2024;22833;630522
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166333;2;E;IM23A056;1;528;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24460091;IM23A056-1-2;72,8;IM-240828PG;14.11.2024;IM-240828PG;28.08.2024;22833;630523
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166333;3;E;IM23A056;1;529;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24460092;IM23A0056-1-3;72,8;IM-240828PG;14.11.2024;IM-240828PG;28.08.2024;22833;630524
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166333;4;E;IM23A056;1;530;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;150000;150000;150;P24460093;IM23A056-1-4;72,8;IM-240828PG;14.11.2024;IM-240828PG;28.08.2024;22833;630525
70197;Inmetch Industrial Co. Ltd.;INMETCH Industrial CO., LTD.;166333;5;E;IM23A056;1;531;12124-00-00;12124-00-00 Nut 647 6534 00B;6476534;736;73181699900;189500;189500;189,5;P24460094;IM23A056-1-5;72,8;IM-240828PG;14.11.2024;IM-240828PG;28.08.2024;22833;630526
72124;BCR Inc.;BCR Inc.;167939;1;REA;2310018;1;561;11853-00-00;11853-00-00 Nut 628248600A;6282486;736;73181660900;1080000;1080000;1080;P24460086;167939;38,6;BE2408016;14.11.2024;BE2408016;28.08.2024;22834;630517
72124;BCR Inc.;BCR Inc.;168023;1;REA;2402026;1;465;11729-00-00;11729-00-00 NutM6, Nylock 610 5889 00A;6105889;736;73181660900;987600;987600;987,6;P24460087;P2403065;14,79;BE2408016;14.11.2024;BE2408016;28.08.2024;22834;630518
72124;BCR Inc.;BCR Inc.;169014;1;E;sales contract 23.5;1;1;95264;95264 Rivet F5740 2998 A;F57402998A;736;73182300900;63890;63890;638,9;P24460088;BP240119-1-1;15;BE2408016;14.11.2024;BE2408016;28.08.2024;22834;630520
72124;BCR Inc.;BCR Inc.;169014;2;E;sales contract 23.5;2;1;95265;95265 Rivet F5740 2998 B;;736;73182300900;62820;62820;628,2;P24460089;BP240119-2-1;15;BE2408016;14.11.2024;BE2408016;28.08.2024;22834;630521
76674;Teca;Teca Baglanti Elemanlari;169561;1;E;Bestätigt;1;38;23586-00-00;23586-00-00 Screw A026 E353 A;A0054N1142A;52;73181595890;284687;284687;284,687;P24400060;;22;IRS202400000087;04.10.2024;INVTEC2024000000083;18.09.2024;22602;627536
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;10;E;O3-20246513;1;4415;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;200000;200000;200;P24400064;24060015;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627542
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;11;E;O3-20246513;1;4416;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;102000;102000;102;P24400065;24050504;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627543
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;12;E;O3-20246513;1;4417;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;163000;163000;163;P24400066;24060038;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627544
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;13;E;O3-20246513;1;4418;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;330000;330000;330;P24400067;24060040;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627545
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;14;E;O3-20246513;1;4421;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;360000;360000;360;P24400068;24060042;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627546
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;15;E;O3-20246513;1;4424;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;285000;285000;285;P24400069;24060066;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627547
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;16;E;O3-20246513;1;4426;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;184000;184000;184;P24400070;24060495;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627548
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168898;17;E;O3-20246513;1;4427;11704-00-10;11704-00-10 Niet 618773100A Stahl TELMETAL;560569099;52;73182300900;200000;200000;200;P24400071;24060062;13,91;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627550
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169038;1;E;O3-20246605;1;40;12218-00-00;12218-00-00 Screw 555 0457 00C;555045700;52;73181499990;200000;200000;200;P24400061;AA00030912;11,86;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627537
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169092;2;E;O3-20246621;1;44;21899-00-00;21899-00-00 Niet 34061441B;CH34061442;52;73182300900;200000;200000;200;P24400063;AA0031019;10,56;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627541
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169276;1;E;O3-20246687;1;41;12218-00-00;12218-00-00 Screw 555 0457 00C;555045700;52;73181499990;200000;200000;200;P24400061;AA00030912;11,86;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627538
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169367;6;E;O3-20246716;1;2828;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;20000;20000;20;P24400072;24070039;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627551
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169367;7;E;O3-20246716;1;2829;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;27621;27621;27,621;P24400073;24090019;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627552
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169367;8;E;O3-20246716;1;2831;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;80000;80000;80;P24400074;24070040;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627554
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169367;9;E;O3-20246716;1;2832;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;97000;97000;97;P24400075;24090020;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627555
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169367;10;E;O3-20246716;1;2833;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;60000;60000;60;P24400076;24090021;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627556
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169384;1;E;O3-20246729;1;2830;20220-00-10;20220-00-10 Gurt-Stift 33030569 A;33030569;52;73182900900;69379;69379;69,379;P24400073;24090019;23,09;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627553
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;169392;1;E;O3-20246737;1;42;12218-00-00;12218-00-00 Screw 555 0457 00C;555045700;52;73181499990;50000;50000;50;P24400061;AA00030912;11,86;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627539
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;170179;1;REA;O3-20246995;1;15;96754-00-00;96754-00-00 Rivet acc.Drw.A17231-03;A17231-03;52;73182300900;239950;239950;239,95;P24400062;AA0031296;17,9;IHR2024000000099;04.10.2024;IHR2024000000099;20.09.2024;22603;627540
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;166387;3;E;bestätigt;1;386;11168-00-00;11168-00-00 Screw 616050700A;6160507;52;73181588800;55000;55000;550;P24410037;24030397;20,3;NEI2024000001625;09.10.2024;IHC2024000001625;26.09.2024;22614;627927
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;167387;2;REA;best.;1;385;11168-00-00;11168-00-00 Screw 616050700A;6160507;52;73181588800;25000;25000;250;P24410037;24030397;20,3;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627926
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;167829;1;E;best.;1;1081;12302-00-00;12302-00-00 Screw 643 6122 00E;6436122;52;73181595890;60000;60000;600;P24410043;24050349;11,45;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627937
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;167829;2;E;best.;1;1082;12302-00-00;12302-00-00 Screw 643 6122 00E;6436122;52;73181595890;25000;25000;250;P24410044;24050350;11,45;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627938
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;167944;2;E;bestätigt;1;1083;12302-00-00;12302-00-00 Screw 643 6122 00E;6436122;52;73181595890;185000;185000;1850;P24410044;24050350;11,45;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627939
70310;Sinard;S.A.SINARD;168252;2;E;240962;1;322;12311;12311 Wave washer 658 1523 00A;6581523;11;73182100950;85000;85000;85;P24400056;2402894;31;242617;04.10.2024;E4240640;26.09.2024;22604;627510
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168297;3;E;bestätigt;1;2315;11340-00-10;11340-00-10 Rivet 615128900B;6151289;52;73182300900;140000;140000;1400;P24410038;24050259;3,38;NEI20240000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627929
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168297;4;E;bestätigt;1;2316;11340-00-10;11340-00-10 Rivet 615128900B;6151289;52;73182300900;14880;14880;148,8;P24410039;24050256;3,38;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627932
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168297;5;E;bestätigt;1;2317;11340-00-10;11340-00-10 Rivet 615128900B;6151289;52;73182300900;439000;439000;4390;P24410040;24050258;3,38;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627933
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168298;2;E;bestätigt;1;2314;11340-00-10;11340-00-10 Rivet 615128900B;6151289;52;73182300900;315000;315000;3150;P24410038;24050259;3,38;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627928
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168885;2;E;KW 33 bestätigt;1;148;72976-00-00;72976-00-00 Screw 131 09 77;1310977;52;73181595890;40000;40000;400;P24410041;24060974;10,84;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627935
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168941;1;E;KW 36 bestätigt;1;147;72976-00-00;72976-00-00 Screw 131 09 77;1310977;52;73181595890;8200;8200;82;P24410041;24060974;10,84;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627934
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;169144;2;E;Bestätigt;1;247;23051-00-00;23051-00-00 Rivet 34237911A;CH34100382;52;73182300900;80000;80000;800;P24410042;24060103;3,89;NEI2024000005239;09.10.2024;IHC2024000001625;26.09.2024;22614;627936
70180;Hörisch;Hörisch-Präzision GmbH;168695;1;E;2024000779;1;325;22736;22736 Axle 3413 8928 A;34138928;0;73170060000;500000;500000;500;P24410034;24/263;7,25;2024003047;08.10.2024;2024003125;27.09.2024;22616;627782
70264;Pfeffer Präzisionsteile;Pfeffer Präzisionsteile e.K.;168706;1;E;209843 19.04.24;1;48;34428;34428 Kugelzapfen;0009341641;0;84312000500;3968;3968;39,68;P24400055;00910557;81,32;313782;02.10.2024;413466;27.09.2024;22596;627391
70285;Reyher;F. REYHER Nchfg. GmbH & Co. KG;168741;1;E;55041998 22.04.24;1;4;64344;64344 DIN 7989-1 A2 17.5 (16);;;;1000;1000;10;P24400039;;26;49278927;01.10.2024;74896298;27.09.2024;22575;627304
70242;Net Civata;NET CIVATA VE VIDA SAN. A.S.;168793;1;E;;1;29;73400-00-00;73400-00-00 Ball Stud DP.8596.100;DP015 815 A01;52;87082990900;10000;10000;100;P24400040;24060660;17,69;NEI2024000005274;01.10.2024;IHC2024000001638;27.09.2024;22590;627331
71296;Schaumann Nieten GER;Schaumann GmbH;170497;3;E;Ersatzbestellung;1;97;21961-00-00;21961-00-00 Niet 3403 3891 B00 (9.5);34033891;;74152900000;54000;54000;54;P24400034;90012-1;40,44;226963;01.10.2024;241442;27.09.2024;22588;627268
70367;Zinkteknik;Zinkteknik AB;170509;1;E;;1;56;23488-00-00;23488-00-00 Pendel A012 L485 B Zinkt. roh;A0028L8125B;30;79070000;240000;240000;2400;P24410045;;6,37;DE212420445;10.10.2024;160015;27.09.2024;22615;627963
72161;Erler Makina;Erler Makina Tic. San. A.S.;167658;3;E;bestätigt 01.02.24;2;156;32696;32696 Distanzstück 56364332501;56364332501;52;84312000500;4338;4338;43,38;P24420026;;62,61;ERD2024000000355;16.10.2024;IHR2024000000352;30.09.2024;22655;628330
70280;Rafflenbeul;Rudolf Rafflenbeul;168860;2;E;241543;1;289;21271;21271 Sicherungs./Washer 00009574E;00009574;0;73182100950;21800;21800;21,8;P24400044;240451;12,47;2406093;02.10.2024;2405498;30.09.2024;22593;627372
70280;Rafflenbeul;Rudolf Rafflenbeul;168860;3;E;241543;1;290;21271;21271 Sicherungs./Washer 00009574E;00009574;0;73182100950;68200;68200;68,2;P24400045;240891;12,47;2406093;02.10.2024;2405498;30.09.2024;22593;627373
70298;Schneeberger;Schneeberger Metallwaren GmbH;168985;1;E;AB24001153 30.05.24;1;340;30804;30804 Schutzabdeckung 722660;50500006000;0;84312000500;500;500;500;P24400035;;14,85;LS24003554;01.10.2024;24002393;30.09.2024;22598;627280
70280;Rafflenbeul;Rudolf Rafflenbeul;169119;1;E;241883;1;291;21271;21271 Sicherungs./Washer 00009574E;00009574;0;73182100950;63450;63450;63,45;P24400045;240891;12,47;2406093;02.10.2024;2405498;30.09.2024;22593;627374
70280;Rafflenbeul;Rudolf Rafflenbeul;169119;2;E;241883;1;292;21271;21271 Sicherungs./Washer 00009574E;00009574;0;73182100950;36550;36550;36,55;P24400046;240891;12,47;2406092;02.10.2024;2405496;30.09.2024;22592;627377
70295;Schriever;Hans Schriever GmbH & Co. KG;169439;1;E;40054493;1;11;23584-00-00;23584-00-00 Screw 6292 0444 B00;62920444;0;73170080000;13760;13760;13,76;P24400047;F153720;10,51;778034;02.10.2024;875729;30.09.2024;22591;627381
70295;Schriever;Hans Schriever GmbH & Co. KG;169439;2;E;40054493;1;12;23584-00-00;23584-00-00 Screw 6292 0444 B00;62920444;0;73170080000;483180;483180;483,18;P24400048;F177513-CH:31935;10,51;778034;02.10.2024;875729;30.09.2024;22591;627382
70280;Rafflenbeul;Rudolf Rafflenbeul;169525;1;E;242148;1;293;21271;21271 Sicherungs./Washer 00009574E;00009574;0;73182100950;53450;53450;53,45;P24400046;240891;12,47;2406092;02.10.2024;2405496;30.09.2024;22592;627378
70298;Schneeberger;Schneeberger Metallwaren GmbH;169867;1;E;24001658;1;159;33964;33964 Halter;55244462508;0;84312000500;307;307;307;P24400036;;7,2;LS24003555;01.10.2024;24002393;30.09.2024;22598;627282
70298;Schneeberger;Schneeberger Metallwaren GmbH;170069;1;E;;2;4;31577-01-00;31577-01-00 Lagerblech;;0;84312000500;50;50;50;P24400037;;4,55;LS24003556;01.10.2024;24002393;30.09.2024;22598;627284
71213;Klein, Eckhard;Klein Präzisionsdreherei GmbH;170212;1;E;A-015387 27.08.24;1;61;31093;31093 Bolzen nach Zeichnung 728899;;0;84312000500;106;106;106;P24400032;;7,5;LF-018418;01.10.2024;24098124;30.09.2024;22597;627234
70285;Reyher;F. REYHER Nchfg. GmbH & Co. KG;170273;1;E;55379054 30.08.24;1;11;63345-00-00;63345-00-00 DIN 933 8.8 verz. M8x30;;;;600;600;6;P24400054;;2,89;49288192;02.10.2024;74902364;30.09.2024;22594;627390
70298;Schneeberger;Schneeberger Metallwaren GmbH;170427;1;E;24001978;1;17;66299;66299 Ausgleichsch. 57460149000006;746149-006;;;20;20;20;P24400038;;2,4;LS24003557;01.10.2024;24002393;30.09.2024;22598;627285
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;170489;2;E;O3-20247108;1;256;11429-00-00;11429-00-00 Rivet 620461801A;6204618;52;73182300900;174000;174000;174;P24410001;24060482;14,51;IHR2024000000101;07.10.2024;IHR2024000000101;30.09.2024;22609;627567
70285;Reyher;F. REYHER Nchfg. GmbH & Co. KG;168702;1;E;AB55036442 19.04.24;1;48;64634;64634 ISO 10642 8.8 ZnNi12 M16x45;;;73181568980;1997;1997;19,97;P24400033;;55,96;49283620;01.10.2024;74904756;01.10.2024;22625;627236
70280;Rafflenbeul;Rudolf Rafflenbeul;168807;1;E;241510;1;469;11794-00-00;11794-00-00 Stop Washer 610061700C;6100617;0;73182100950;169200;169200;169,2;P24400041;240704;24,3;2406114;02.10.2024;2405540;01.10.2024;22633;627366
70280;Rafflenbeul;Rudolf Rafflenbeul;168807;2;E;241510;1;470;11794-00-00;11794-00-00 Stop Washer 610061700C;6100617;0;73182100950;184700;184700;184,7;P24400042;240795;24,3;2406114;02.10.2024;2405540;01.10.2024;22633;627368
70280;Rafflenbeul;Rudolf Rafflenbeul;168807;3;E;241510;1;471;11794-00-00;11794-00-00 Stop Washer 610061700C;6100617;0;73182100950;223500;223500;223,5;P24400043;240591;24,3;2406114;02.10.2024;2405540;01.10.2024;22633;627370
77658;Tronser CNC GmbH;Tronser CNC GmbH;169382;2;E;212606 17.06.24;1;120;33616;33616 Bolzen 56366121307;56366121307;0;84312000500;1100;1100;11;P24400053;;79,6;;02.10.2024;424573;01.10.2024;22624;627387
71296;Schaumann Nieten GER;Schaumann GmbH;169728;4;REA;100966;1;29;23408-00-00;23408-00-00 Rivet 3428 0751 B;A0036H8807A;;76161000990;17334;17334;173,34;P24410033;90098;7,79;226980;08.10.2024;241466;01.10.2024;22635;627758
76712;Gotzeina, Bernhard Dreherei;Bernhard Gotzeina & Co. GmbH;170189;1;E;A2410770/A2410771;2;15;97373;97373 Hinterer Stiftteil 12-803-2C;12-803-2C;;;1505;1505;15,05;P24400051;;109;A20832;02.10.2024;A2432595;01.10.2024;22622;627385
76712;Gotzeina, Bernhard Dreherei;Bernhard Gotzeina & Co. GmbH;170189;2;E;A2410770/A2410771;1;15;97372;97372 Vorderer Stiftteil 12-803-2C;12-803-2C;;;824;824;8,24;P24400052;;95;A20833;02.10.2024;A2432596;01.10.2024;22623;627386
75985;Aicher GmbH + Co KG;Aicher GmbH + Co KG;170354;1;E;best. per Mail;1;1;10017-00-00;10017-00-00 Scheibe 25 x 5,5;6005286;0;;6065;6065;6,065;P24410004;00906091;212;311316;07.10.2024;410050;01.10.2024;22621;627596
70308;TELMETAL;TELMETAL SOGUK HA. SAN. VE TIC.A.S.;168565;2;E;O3-20246387;1;39;12374-00-00;12374-00-00 Screw 648903200B;6489032;52;73181595890;50000;50000;50;P24410003;AA0030716;32,06;IHR2024000000103;07.10.2024;IHR2024000000103;02.10.2024;22646;627570
